target,gaia_dr3_id,notes
WASP-62,4.756649415309914e+18,"notes:
substellar companion
wasp-62b
detected, see also
wasp-62
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
TOI-2570,3.4451481317618427e+18,none
TOI-201,4.767547667180526e+18,none
TOI-201,4.767547667180526e+18,none
WASP-160 B,2.9107554846095974e+18,none
TOI-2346,2.9967762535476065e+18,none
HATS-6,2.9666805973687506e+18,none
TOI-480,2.992025233741517e+18,none
TOI-2364,3.022644120017418e+18,none
TOI-904,4.620844400530949e+18,none
TOI-904,4.620844400530949e+18,none
NGTS-4,2.891248292906892e+18,none
TOI-2497,3.3422286164225935e+18,none
TOI-1693,3.451908921382409e+18,none
TOI-4734,3.343402074506386e+18,none
TOI-4201,2.997312063605005e+18,none
Gaia-1,3.026325426682638e+18,none
TOI-286,5.482316880495405e+18,none
TOI-286,5.482316880495405e+18,none
TOI-3757,9.968781314946394e+17,none
WASP-49,2.991284369063613e+18,"notes:
substellar companion
wasp-49b
detected, see also
wasp-49
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
LHS 1815,5.500061456275484e+18,none
TOI-5153,2.942084865853012e+18,none
TOI-220,5.481210874877548e+18,none
NGTS-10,2.911987212510959e+18,none
TOI-1338 A,5.494443978353833e+18,none
